Burkina Faso,BFA,"Tariff rate, most favored nation, weighted mean, all products (%)",TM.TAX.MRCH.WM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.38,,,,,,,,11.16,11.45,11.56,11.67,11.66,11.73,12.71,10.41,10.38,10.42,10.4,10.11,
Bangladesh,BGD,"Tariff rate, most favored nation, weighted mean, all products (%)",TM.TAX.MRCH.WM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.43,,,,,77.19,,,,,18.25,17.86,,18.32,19.06,15.8,19.92,19.92,11.3,13.0,,,,,
Bulgaria,BGR,"Tariff rate, most favored nation, weighted mean, all products (%)",TM.TAX.MRCH.WM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.73,4.73,6.22,5.92,6.33,6.3,6.14,7.36,5.75,5.79,4.6,3.63,3.23,3.64,3.49,3.57,3.44,3.21,3.22,3.19,3.16,2.81,2.54,2.43,2.22,
Bahrain,BHR,"Tariff rate, most favored nation, weighted mean, all products (%)",TM.TAX.MRCH.WM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.92,,8.54,,,,5.55,5.4,5.42,5.01,4.9,,6.87,6.87,
"Bahamas, The",BHS,"Tariff rate, most favored nation, weighted mean, all products (%)",TM.TAX.MRCH.WM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.58,,,25.59,,,,23.88,,,,21.48,18.9,,
Bosnia and Herzegovina,BIH,"Tariff rate, most favored nation, weighted mean, all products (%)",TM.TAX.MRCH.WM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.46,,,,,6.37,6.44,6.16,8.83,5.72,5.49,5.56,
Belarus,BLR,"Tariff rate, most favored nation, weighted mean, all products (%)",TM.TAX.MRCH.WM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.85,9.5,,,,,8.86,,,,,,6.71,6.48,5.4,4.39,4.93,
Belize,BLZ,"Tariff rate, most favored nation, weighted mean, all products (%)",TM.TAX.MRCH.WM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.63,,,11.19,,10.71,11.64,11.35,,,10.02,9.67,9.67,6.09,6.49,11.43,8.89,
Bermuda,BMU,"Tariff rate, most favored nation, weighted mean, all products (%)",TM.TAX.MRCH.WM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.38,,,,27.48,,30.17,29.72,27.84,26.07,16.79,15.2,
Bolivia,BOL,"Tariff rate, most favored nation, weighted mean, all products (%)",TM.TAX.MRCH.WM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.44,9.95,9.49,9.31,9.31,9.04,9.14,8.46,8.71,9.25,,8.96,8.67,8.44,8.43,8.34,8.5,8.7,8.64,8.64,
