Table 2.2  Reported Road Casualties by District and Severity 1990-2008,,,,,,,,,,,,,,,,,,,,
,Slight,1111.0,981.0,1027.0,1072.0,1044,1081.0,1088.0,1071.0,1094.0,968.0,1089.0,940.0,864.0,772.0,845.0,735.0,689.0,667.0,605.0
,Total,1288.0,1154.0,1290.0,1213.0,1150,1202.0,1177.0,1193.0,1184.0,1062.0,1170.0,1031.0,953.0,866.0,922.0,805.0,756.0,745.0,659.0
Trafford,Fatal,14.0,15.0,11.0,15.0,7,5.0,3.0,7.0,5.0,8.0,7.0,10.0,10.0,12.0,6.0,2.0,7.0,9.0,5.0
,Serious,107.0,106.0,85.0,89.0,70,70.0,72.0,70.0,63.0,84.0,75.0,53.0,62.0,64.0,65.0,49.0,66.0,48.0,49.0
,Slight,1088.0,1106.0,1048.0,1052.0,1145,1072.0,1092.0,1121.0,1190.0,1235.0,1252.0,1012.0,977.0,842.0,714.0,705.0,716.0,662.0,677.0
,Total,1209.0,1227.0,1144.0,1156.0,1222,1147.0,1167.0,1198.0,1258.0,1327.0,1334.0,1075.0,1049.0,918.0,785.0,756.0,789.0,719.0,731.0
 Wigan,Fatal,22.0,21.0,12.0,13.0,14,14.0,20.0,10.0,4.0,10.0,20.0,13.0,9.0,12.0,6.0,13.0,11.0,9.0,6.0
,Serious,220.0,206.0,162.0,145.0,135,122.0,148.0,132.0,134.0,114.0,129.0,112.0,123.0,108.0,114.0,117.0,85.0,90.0,89.0
,Slight,1768.0,1593.0,1681.0,1711.0,1675,1629.0,1713.0,1814.0,1842.0,1716.0,1651.0,1690.0,1595.0,1409.0,1240.0,1133.0,1185.0,921.0,845.0
,Total,2010.0,1820.0,1855.0,1869.0,1824,1765.0,1881.0,1956.0,1980.0,1840.0,1800.0,1815.0,1727.0,1529.0,1360.0,1263.0,1281.0,1020.0,940.0
Greater Manchester,Fatal,174.0,171.0,159.0,140.0,113,120.0,112.0,129.0,104.0,89.0,106.0,106.0,86.0,126.0,94.0,87.0,90.0,93.0,61.0
,Serious,1894.0,1773.0,1594.0,1465.0,1416,1214.0,1198.0,1097.0,903.0,1036.0,1017.0,972.0,975.0,970.0,948.0,993.0,844.0,837.0,782.0
,Slight,15105.0,14152.0,14752.0,14591.0,15371,14855.0,15166.0,15722.0,16018.0,15364.0,15867.0,14818.0,13771.0,13050.0,12501.0,11725.0,10861.0,9772.0,9038.0
,Total,17173.0,16096.0,16505.0,16196.0,16900,16189.0,16476.0,16948.0,17025.0,16489.0,16990.0,15896.0,14832.0,14146.0,13543.0,12805.0,11795.0,10702.0,9881.0
Note:  * - The increase in Salford serious casualties is due to one accident involving a PSV which occurred on the A580 East Lancashire Road near the junction with the A577 Moseley Commom Road. The accident resulted in a total of 42 Serious casualties,,,,,,,,,,,,,,,,,,,,
List of Tables in this Workbook,,,,,,,,,,,,,,,,,,,,
