"Education & Training Overall Achievement Rates by Age, Level and Qualification Type",,,,,,,,
Institution Type,Hybrid End Year,Age,Qualification Level,Qualification Type,Overall Cohort,Overall Achievement Rate %,Retention Rate %,Pass Rate %
All Institution Type,2015/16,19+,H,Certificate,670,81.2,88.8,91.4
All Institution Type,2015/16,19+,H,Diploma,"3,940",53.7,75.7,70.9
All Institution Type,2015/16,19+,H,Other Non-Regulated,50,96.1,96.1,100.0
All Institution Type,2015/16,19+,H,All Qualification Types,"4,670",58.1,77.8,74.7
All Institution Type,2015/16,19+,Unknown,Other Non-Regulated,"7,620",93.0,98.7,94.2
All Institution Type,2015/16,19+,Unknown,All Qualification Types,"7,620",93.0,98.7,94.2
All Institution Type,2015/16,19+,All Qualification Levels,A Level,"4,120",89.6,94.2,95.1
All Institution Type,2015/16,19+,All Qualification Levels,Access to HE,"27,440",78.3,84.5,92.6
All Institution Type,2015/16,19+,All Qualification Levels,AS Level,"2,150",69.7,85.4,81.6
All Institution Type,2015/16,19+,All Qualification Levels,Award,"167,980",90.8,95.0,95.6
All Institution Type,2015/16,19+,All Qualification Levels,Basic Skills Maths and English,"260,140",71.3,87.6,81.4
All Institution Type,2015/16,19+,All Qualification Levels,Certificate,"353,560",90.1,92.8,97.0
All Institution Type,2015/16,19+,All Qualification Levels,Diploma,"132,180",81.3,86.5,94.1
All Institution Type,2015/16,19+,All Qualification Levels,ESOL,"181,020",86.5,93.9,92.1
All Institution Type,2015/16,19+,All Qualification Levels,GCSE Maths and English,"66,940",81.3,86.2,94.2
All Institution Type,2015/16,19+,All Qualification Levels,GCSE Other,"6,420",82.1,86.2,95.2
All Institution Type,2015/16,19+,All Qualification Levels,Other Non-Regulated,"198,900",93.9,95.1,98.7
All Institution Type,2015/16,19+,All Qualification Levels,Other Regulated,"26,490",86.9,92.8,93.6
All Institution Type,2015/16,19+,All Qualification Levels,QCF Unit,"112,850",94.9,97.6,97.2
All Institution Type,2015/16,19+,All Qualification Levels,All Qualification Types,"1,540,190",85.9,91.9,93.5
All Institution Type,2015/16,All Age,1,Award,"203,400",89.4,93.6,95.5
All Institution Type,2015/16,All Age,1,Basic Skills Maths and English,"406,190",69.0,86.2,80.0
All Institution Type,2015/16,All Age,1,Certificate,"191,330",89.2,92.1,96.8
All Institution Type,2015/16,All Age,1,Diploma,"73,150",83.2,87.7,94.8
All Institution Type,2015/16,All Age,1,ESOL,"186,300",86.5,93.8,92.3
All Institution Type,2015/16,All Age,1,Other Non-Regulated,"215,640",92.5,93.8,98.7
All Institution Type,2015/16,All Age,1,Other Regulated,"33,400",83.3,90.9,91.7
All Institution Type,2015/16,All Age,1,QCF Unit,"87,200",94.7,97.6,97.0
All Institution Type,2015/16,All Age,1,All Qualification Types,"1,396,590",83.4,91.2,91.4
All Institution Type,2015/16,All Age,2,Award,"68,590",90.7,95.8,94.7
All Institution Type,2015/16,All Age,2,Basic Skills Maths and English,"127,980",43.4,80.6,53.9
All Institution Type,2015/16,All Age,2,Certificate,"240,780",88.1,91.4,96.4
All Institution Type,2015/16,All Age,2,Diploma,"132,500",82.9,87.9,94.3
All Institution Type,2015/16,All Age,2,ESOL,"10,270",85.8,95.1,90.2
All Institution Type,2015/16,All Age,2,GCSE Maths and English,"303,840",80.1,87.9,91.1
All Institution Type,2015/16,All Age,2,GCSE Other,"23,360",83.0,87.3,95.1
All Institution Type,2015/16,All Age,2,Other Non-Regulated,"41,830",93.2,94.6,98.4
All Institution Type,2015/16,All Age,2,Other Regulated,"47,940",77.5,88.1,88.0
All Institution Type,2015/16,All Age,2,QCF Unit,"25,600",95.8,97.6,98.2
All Institution Type,2015/16,All Age,2,All Qualification Types,"1,022,670",79.4,88.9,89.3
All Institution Type,2015/16,All Age,3,A Level,"202,370",95.5,97.5,98.0
All Institution Type,2015/16,All Age,3,Access to HE,"28,290",78.1,84.4,92.5
All Institution Type,2015/16,All Age,3,AS Level,"289,870",80.2,92.5,86.7
All Institution Type,2015/16,All Age,3,Award,"4,380",88.8,94.9,93.5
All Institution Type,2015/16,All Age,3,Certificate,"37,620",84.4,89.5,94.3
All Institution Type,2015/16,All Age,3,Diploma,"319,390",85.7,90.1,95.1
All Institution Type,2015/16,All Age,3,Other Non-Regulated,"23,820",94.2,95.0,99.2
All Institution Type,2015/16,All Age,3,Other Regulated,"23,460",76.4,83.0,92.1
All Institution Type,2015/16,All Age,3,QCF Unit,70,88.7,100.0,88.7
All Institution Type,2015/16,All Age,3,All Qualification Types,"929,270",85.8,92.2,93.1
All Institution Type,2015/16,All Age,H,Award,-,77.8,83.3,93.3
All Institution Type,2015/16,All Age,H,Certificate,760,81.6,89.1,91.6
All Institution Type,2015/16,All Age,H,Diploma,"5,310",60.7,79.6,76.3
All Institution Type,2015/16,All Age,H,Other Non-Regulated,200,99.0,99.0,100.0
All Institution Type,2015/16,All Age,H,All Qualification Types,"6,290",64.5,81.3,79.3
All Institution Type,2015/16,All Age,Unknown,Other Non-Regulated,"7,730",92.3,97.9,94.2
All Institution Type,2015/16,All Age,Unknown,All Qualification Types,"7,730",92.3,97.9,94.2
All Institution Type,2015/16,All Age,All Qualification Levels,A Level,"202,370",95.5,97.5,98.0
All Institution Type,2015/16,All Age,All Qualification Levels,Access to HE,"28,290",78.1,84.4,92.5
All Institution Type,2015/16,All Age,All Qualification Levels,AS Level,"289,870",80.2,92.5,86.7
