"Education & Training Overall Achievement Rates by Age, Level and Qualification Type",,,,,,,,
Institution Type,Hybrid End Year,Age,Qualification Level,Qualification Type,Overall Cohort,Overall Achievement Rate %,Retention Rate %,Pass Rate %
General FE and Tertiary College,2015/16,All Age,1,All Qualification Types,"825,470",83.1,92.4,89.9
General FE and Tertiary College,2015/16,All Age,2,Award,"42,760",92.5,97.4,94.9
General FE and Tertiary College,2015/16,All Age,2,Basic Skills Maths and English,"76,340",38.7,85.4,45.3
General FE and Tertiary College,2015/16,All Age,2,Certificate,"176,190",89.8,93.1,96.5
General FE and Tertiary College,2015/16,All Age,2,Diploma,"114,840",83.4,88.7,94.1
General FE and Tertiary College,2015/16,All Age,2,ESOL,"7,350",87.0,95.5,91.1
General FE and Tertiary College,2015/16,All Age,2,GCSE Maths and English,"246,900",79.9,88.1,90.8
General FE and Tertiary College,2015/16,All Age,2,GCSE Other,"15,850",82.3,87.4,94.2
General FE and Tertiary College,2015/16,All Age,2,Other Non-Regulated,"16,310",93.7,94.9,98.8
General FE and Tertiary College,2015/16,All Age,2,Other Regulated,"36,880",77.9,88.7,87.8
General FE and Tertiary College,2015/16,All Age,2,QCF Unit,"8,330",95.9,98.3,97.5
General FE and Tertiary College,2015/16,All Age,2,All Qualification Types,"741,750",79.8,90.0,88.7
General FE and Tertiary College,2015/16,All Age,3,A Level,"54,560",94.2,96.8,97.3
General FE and Tertiary College,2015/16,All Age,3,Access to HE,"26,650",78.4,84.7,92.6
General FE and Tertiary College,2015/16,All Age,3,AS Level,"91,380",74.6,91.5,81.5
General FE and Tertiary College,2015/16,All Age,3,Award,"3,130",89.8,96.7,92.8
General FE and Tertiary College,2015/16,All Age,3,Certificate,"15,980",84.0,90.2,93.1
General FE and Tertiary College,2015/16,All Age,3,Diploma,"241,230",85.6,90.5,94.6
General FE and Tertiary College,2015/16,All Age,3,Other Non-Regulated,"18,220",94.8,95.8,99.0
General FE and Tertiary College,2015/16,All Age,3,Other Regulated,"12,200",77.1,85.1,90.6
General FE and Tertiary College,2015/16,All Age,3,QCF Unit,40,82.5,100.0,82.5
General FE and Tertiary College,2015/16,All Age,3,All Qualification Types,"463,400",84.1,91.2,92.3
General FE and Tertiary College,2015/16,All Age,H,Award,-,76.5,82.4,92.9
General FE and Tertiary College,2015/16,All Age,H,Certificate,550,82.3,90.3,91.1
General FE and Tertiary College,2015/16,All Age,H,Diploma,"3,720",56.3,81.3,69.2
General FE and Tertiary College,2015/16,All Age,H,Other Non-Regulated,150,100.0,100.0,100.0
General FE and Tertiary College,2015/16,All Age,H,All Qualification Types,"4,440",61.1,83.1,73.5
General FE and Tertiary College,2015/16,All Age,Unknown,Other Non-Regulated,"7,530",94.0,99.8,94.2
General FE and Tertiary College,2015/16,All Age,Unknown,All Qualification Types,"7,530",94.0,99.8,94.2
General FE and Tertiary College,2015/16,All Age,All Qualification Levels,A Level,"54,560",94.2,96.8,97.3
General FE and Tertiary College,2015/16,All Age,All Qualification Levels,Access to HE,"26,650",78.4,84.7,92.6
General FE and Tertiary College,2015/16,All Age,All Qualification Levels,AS Level,"91,380",74.6,91.5,81.5
General FE and Tertiary College,2015/16,All Age,All Qualification Levels,Award,"165,860",92.2,96.5,95.5
General FE and Tertiary College,2015/16,All Age,All Qualification Levels,Basic Skills Maths and English,"364,760",63.3,88.1,71.9
General FE and Tertiary College,2015/16,All Age,All Qualification Levels,Certificate,"292,190",89.7,93.2,96.3
General FE and Tertiary College,2015/16,All Age,All Qualification Levels,Diploma,"424,610",84.6,89.6,94.4
General FE and Tertiary College,2015/16,All Age,All Qualification Levels,ESOL,"132,630",88.2,94.7,93.2
General FE and Tertiary College,2015/16,All Age,All Qualification Levels,GCSE Maths and English,"246,900",79.9,88.1,90.8
General FE and Tertiary College,2015/16,All Age,All Qualification Levels,GCSE Other,"15,850",82.3,87.4,94.2
General FE and Tertiary College,2015/16,All Age,All Qualification Levels,Other Non-Regulated,"102,820",94.1,95.5,98.5
General FE and Tertiary College,2015/16,All Age,All Qualification Levels,Other Regulated,"66,910",78.7,88.7,88.8
General FE and Tertiary College,2015/16,All Age,All Qualification Levels,QCF Unit,"57,470",95.3,98.2,97.1
General FE and Tertiary College,2015/16,All Age,All Qualification Levels,All Qualification Types,"2,042,590",82.1,91.3,90.0
Other Public Funded,2015/16,16-18,1,Award,"1,770",76.7,84.4,90.8
Other Public Funded,2015/16,16-18,1,Basic Skills Maths and English,"5,640",54.3,73.9,73.5
Other Public Funded,2015/16,16-18,1,Certificate,"1,730",71.3,77.1,92.5
Other Public Funded,2015/16,16-18,1,Diploma,630,84.2,88.3,95.3
Other Public Funded,2015/16,16-18,1,ESOL,200,79.3,91.6,86.6
Other Public Funded,2015/16,16-18,1,Other Non-Regulated,"1,660",78.8,81.5,96.6
Other Public Funded,2015/16,16-18,1,Other Regulated,440,64.8,77.4,83.8
Other Public Funded,2015/16,16-18,1,All Qualification Types,"12,060",65.7,78.1,84.1
Other Public Funded,2015/16,16-18,2,Award,880,77.8,87.4,89.0
Other Public Funded,2015/16,16-18,2,Basic Skills Maths and English,"1,470",36.4,70.3,51.7
Other Public Funded,2015/16,16-18,2,Certificate,710,73.1,82.2,88.9
Other Public Funded,2015/16,16-18,2,Diploma,770,76.1,82.9,91.7
Other Public Funded,2015/16,16-18,2,ESOL,-,94.1,100.0,94.1
Other Public Funded,2015/16,16-18,2,GCSE Maths and English,"2,630",68.5,82.5,83.0
Other Public Funded,2015/16,16-18,2,GCSE Other,260,74.1,78.4,94.6
Other Public Funded,2015/16,16-18,2,Other Non-Regulated,310,82.6,84.5,97.7
Other Public Funded,2015/16,16-18,2,Other Regulated,390,64.5,78.1,82.6
Other Public Funded,2015/16,16-18,2,All Qualification Types,"7,430",65.1,80.4,80.9
Other Public Funded,2015/16,16-18,3,A Level,940,91.2,96.5,94.5
Other Public Funded,2015/16,16-18,3,Access to HE,40,86.1,86.1,100.0
Other Public Funded,2015/16,16-18,3,AS Level,"1,670",80.0,94.7,84.5
Other Public Funded,2015/16,16-18,3,Award,40,82.9,85.7,96.7
Other Public Funded,2015/16,16-18,3,Certificate,90,80.4,91.3,88.1
Other Public Funded,2015/16,16-18,3,Diploma,"3,950",87.2,90.4,96.4
Other Public Funded,2015/16,16-18,3,Other Non-Regulated,-,94.4,94.4,100.0
Other Public Funded,2015/16,16-18,3,Other Regulated,90,72.3,84.0,86.1
Other Public Funded,2015/16,16-18,3,All Qualification Types,"6,840",85.7,92.2,93.0
Other Public Funded,2015/16,16-18,H,Diploma,320,93.5,93.8,99.7
Other Public Funded,2015/16,16-18,H,All Qualification Types,320,93.5,93.8,99.7
Other Public Funded,2015/16,16-18,Unknown,Other Non-Regulated,-,38.5,38.5,100.0
Other Public Funded,2015/16,16-18,Unknown,All Qualification Types,-,38.5,38.5,100.0
Other Public Funded,2015/16,16-18,All Qualification Levels,A Level,940,91.2,96.5,94.5
Other Public Funded,2015/16,16-18,All Qualification Levels,Access to HE,40,86.1,86.1,100.0
Other Public Funded,2015/16,16-18,All Qualification Levels,AS Level,"1,670",80.0,94.7,84.5
Other Public Funded,2015/16,16-18,All Qualification Levels,Award,"2,680",77.1,85.4,90.3
Other Public Funded,2015/16,16-18,All Qualification Levels,Basic Skills Maths and English,"7,110",50.6,73.2,69.2
Other Public Funded,2015/16,16-18,All Qualification Levels,Certificate,"2,530",72.1,79.1,91.2
Other Public Funded,2015/16,16-18,All Qualification Levels,Diploma,"5,680",85.7,89.4,95.9
Other Public Funded,2015/16,16-18,All Qualification Levels,ESOL,220,80.5,92.3,87.2
Other Public Funded,2015/16,16-18,All Qualification Levels,GCSE Maths and English,"2,630",68.5,82.5,83.0
Other Public Funded,2015/16,16-18,All Qualification Levels,GCSE Other,260,74.1,78.4,94.6
Other Public Funded,2015/16,16-18,All Qualification Levels,Other Non-Regulated,"2,000",79.2,81.8,96.8
Other Public Funded,2015/16,16-18,All Qualification Levels,Other Regulated,920,65.5,78.4,83.5
Other Public Funded,2015/16,16-18,All Qualification Levels,All Qualification Types,"26,670",71.0,82.5,86.0
Other Public Funded,2015/16,19+,1,Award,"26,750",87.6,92.2,95.0
Other Public Funded,2015/16,19+,1,Basic Skills Maths and English,"36,870",78.1,89.2,87.5
Other Public Funded,2015/16,19+,1,Certificate,"6,870",88.2,91.7,96.3
Other Public Funded,2015/16,19+,1,Diploma,420,82.0,84.6,96.9
Other Public Funded,2015/16,19+,1,ESOL,"40,950",85.2,93.0,91.6
Other Public Funded,2015/16,19+,1,Other Non-Regulated,"20,890",94.6,95.6,99.0
Other Public Funded,2015/16,19+,1,Other Regulated,"3,290",83.8,90.6,92.5
Other Public Funded,2015/16,19+,1,QCF Unit,"16,690",91.3,96.2,94.9
Other Public Funded,2015/16,19+,1,All Qualification Types,"152,710",85.9,92.5,92.9
Other Public Funded,2015/16,19+,2,Award,"4,640",95.1,98.9,96.2
Other Public Funded,2015/16,19+,2,Basic Skills Maths and English,"13,380",64.4,87.2,73.9
Other Public Funded,2015/16,19+,2,Certificate,"14,300",81.0,85.2,95.1
Other Public Funded,2015/16,19+,2,Diploma,"1,940",83.8,86.6,96.8
Other Public Funded,2015/16,19+,2,ESOL,"1,770",80.8,94.4,85.6
Other Public Funded,2015/16,19+,2,GCSE Maths and English,"9,010",84.8,86.9,97.6
Other Public Funded,2015/16,19+,2,GCSE Other,600,85.2,87.5,97.3
Other Public Funded,2015/16,19+,2,Other Non-Regulated,"1,360",90.6,92.4,98.1
Other Public Funded,2015/16,19+,2,Other Regulated,360,66.7,74.2,89.9
Other Public Funded,2015/16,19+,2,QCF Unit,"1,300",84.4,92.8,90.9
Other Public Funded,2015/16,19+,2,All Qualification Types,"48,650",78.9,88.1,89.6
Other Public Funded,2015/16,19+,3,A Level,50,81.6,91.8,88.9
Other Public Funded,2015/16,19+,3,Access to HE,510,77.6,81.9,94.8
Other Public Funded,2015/16,19+,3,AS Level,30,42.4,78.8,53.8
Other Public Funded,2015/16,19+,3,Award,-,84.6,100.0,84.6
Other Public Funded,2015/16,19+,3,Certificate,820,79.7,86.3,92.4
Other Public Funded,2015/16,19+,3,Diploma,"2,720",83.4,87.1,95.8
Other Public Funded,2015/16,19+,3,QCF Unit,-,100.0,100.0,100.0
Other Public Funded,2015/16,19+,3,All Qualification Types,"4,170",81.7,86.3,94.6
Other Public Funded,2015/16,19+,H,Certificate,70,78.5,86.2,91.1
Other Public Funded,2015/16,19+,H,Diploma,240,54.7,63.6,86.0
Other Public Funded,2015/16,19+,H,Other Non-Regulated,-,100.0,100.0,100.0
Other Public Funded,2015/16,19+,H,All Qualification Types,330,62.8,70.8,88.7
Other Public Funded,2015/16,19+,Unknown,Other Non-Regulated,-,0.0,0.0,-
Other Public Funded,2015/16,19+,Unknown,All Qualification Types,-,0.0,0.0,-
Other Public Funded,2015/16,19+,All Qualification Levels,A Level,50,81.6,91.8,88.9
Other Public Funded,2015/16,19+,All Qualification Levels,Access to HE,510,77.6,81.9,94.8
Other Public Funded,2015/16,19+,All Qualification Levels,AS Level,30,42.4,78.8,53.8
Other Public Funded,2015/16,19+,All Qualification Levels,Award,"31,400",88.7,93.2,95.1
Other Public Funded,2015/16,19+,All Qualification Levels,Basic Skills Maths and English,"50,250",74.4,88.7,83.9
Other Public Funded,2015/16,19+,All Qualification Levels,Certificate,"22,050",83.2,87.3,95.3
Other Public Funded,2015/16,19+,All Qualification Levels,Diploma,"5,320",82.2,85.6,95.9
Other Public Funded,2015/16,19+,All Qualification Levels,ESOL,"42,710",85.0,93.0,91.3
Other Public Funded,2015/16,19+,All Qualification Levels,GCSE Maths and English,"9,010",84.8,86.9,97.6
Other Public Funded,2015/16,19+,All Qualification Levels,GCSE Other,600,85.2,87.5,97.3
Other Public Funded,2015/16,19+,All Qualification Levels,Other Non-Regulated,"22,300",94.2,95.3,98.9
Other Public Funded,2015/16,19+,All Qualification Levels,Other Regulated,"3,650",82.1,89.0,92.3
Other Public Funded,2015/16,19+,All Qualification Levels,QCF Unit,"17,990",90.8,96.0,94.6
Other Public Funded,2015/16,19+,All Qualification Levels,All Qualification Types,"205,880",84.1,91.3,92.2
Other Public Funded,2015/16,All Age,1,Award,"28,510",86.9,91.8,94.7
Other Public Funded,2015/16,All Age,1,Basic Skills Maths and English,"42,510",74.9,87.2,85.9
Other Public Funded,2015/16,All Age,1,Certificate,"8,590",84.8,88.8,95.6
Other Public Funded,2015/16,All Age,1,Diploma,"1,050",83.3,86.8,95.9
Other Public Funded,2015/16,All Age,1,ESOL,"41,150",85.1,93.0,91.6
Other Public Funded,2015/16,All Age,1,Other Non-Regulated,"22,540",93.4,94.5,98.8
Other Public Funded,2015/16,All Age,1,Other Regulated,"3,730",81.6,89.0,91.6
Other Public Funded,2015/16,All Age,1,QCF Unit,"16,690",91.3,96.2,94.9
Other Public Funded,2015/16,All Age,1,All Qualification Types,"164,770",84.5,91.5,92.3
Other Public Funded,2015/16,All Age,2,Award,"5,520",92.4,97.1,95.2
Other Public Funded,2015/16,All Age,2,Basic Skills Maths and English,"14,850",61.7,85.5,72.1
Other Public Funded,2015/16,All Age,2,Certificate,"15,010",80.6,85.1,94.8
Other Public Funded,2015/16,All Age,2,Diploma,"2,710",81.6,85.6,95.4
Other Public Funded,2015/16,All Age,2,ESOL,"1,790",81.0,94.5,85.7
Other Public Funded,2015/16,All Age,2,GCSE Maths and English,"11,640",81.1,85.9,94.4
Other Public Funded,2015/16,All Age,2,GCSE Other,860,81.9,84.8,96.6
Other Public Funded,2015/16,All Age,2,Other Non-Regulated,"1,670",89.1,90.9,98.0
Other Public Funded,2015/16,All Age,2,Other Regulated,750,65.6,76.2,86.0
Other Public Funded,2015/16,All Age,2,QCF Unit,"1,300",84.4,92.8,90.9
Other Public Funded,2015/16,All Age,2,All Qualification Types,"56,080",77.1,87.1,88.5
Other Public Funded,2015/16,All Age,3,A Level,990,90.7,96.3,94.2
Other Public Funded,2015/16,All Age,3,Access to HE,550,78.1,82.1,95.1
Other Public Funded,2015/16,All Age,3,AS Level,"1,710",79.3,94.4,84.0
Other Public Funded,2015/16,All Age,3,Award,50,83.3,89.6,93.0
Other Public Funded,2015/16,All Age,3,Certificate,920,79.8,86.8,91.9
Other Public Funded,2015/16,All Age,3,Diploma,"6,670",85.7,89.1,96.2
Other Public Funded,2015/16,All Age,3,Other Non-Regulated,-,95.5,95.5,100.0
Other Public Funded,2015/16,All Age,3,Other Regulated,100,72.4,83.7,86.6
Other Public Funded,2015/16,All Age,3,QCF Unit,-,100.0,100.0,100.0
Other Public Funded,2015/16,All Age,3,All Qualification Types,"11,010",84.2,90.0,93.6
Other Public Funded,2015/16,All Age,H,Certificate,70,78.5,86.2,91.1
Other Public Funded,2015/16,All Age,H,Diploma,560,77.1,81.1,95.2
Other Public Funded,2015/16,All Age,H,Other Non-Regulated,-,100.0,100.0,100.0
Other Public Funded,2015/16,All Age,H,All Qualification Types,650,78.1,82.3,94.9
Other Public Funded,2015/16,All Age,Unknown,Other Non-Regulated,40,13.5,13.5,100.0
Other Public Funded,2015/16,All Age,Unknown,All Qualification Types,40,13.5,13.5,100.0
Other Public Funded,2015/16,All Age,All Qualification Levels,A Level,990,90.7,96.3,94.2
Other Public Funded,2015/16,All Age,All Qualification Levels,Access to HE,550,78.1,82.1,95.1
Other Public Funded,2015/16,All Age,All Qualification Levels,AS Level,"1,710",79.3,94.4,84.0
Other Public Funded,2015/16,All Age,All Qualification Levels,Award,"34,080",87.8,92.6,94.8
Other Public Funded,2015/16,All Age,All Qualification Levels,Basic Skills Maths and English,"57,360",71.5,86.8,82.4
Other Public Funded,2015/16,All Age,All Qualification Levels,Certificate,"24,580",82.1,86.4,94.9
Other Public Funded,2015/16,All Age,All Qualification Levels,Diploma,"10,990",84.0,87.6,95.9
Other Public Funded,2015/16,All Age,All Qualification Levels,ESOL,"42,930",85.0,93.0,91.3
Other Public Funded,2015/16,All Age,All Qualification Levels,GCSE Maths and English,"11,640",81.1,85.9,94.4
Other Public Funded,2015/16,All Age,All Qualification Levels,GCSE Other,860,81.9,84.8,96.6
Other Public Funded,2015/16,All Age,All Qualification Levels,Other Non-Regulated,"24,290",93.0,94.2,98.8
Other Public Funded,2015/16,All Age,All Qualification Levels,Other Regulated,"4,570",78.8,86.8,90.7
Other Public Funded,2015/16,All Age,All Qualification Levels,QCF Unit,"17,990",90.8,95.9,94.6
Other Public Funded,2015/16,All Age,All Qualification Levels,All Qualification Types,"232,540",82.6,90.3,91.5
Private Sector Public Funded,2015/16,16-18,1,Award,"8,880",68.6,76.1,90.2
Private Sector Public Funded,2015/16,16-18,1,Basic Skills Maths and English,"27,420",50.9,63.2,80.5
Private Sector Public Funded,2015/16,16-18,1,Certificate,"12,040",69.0,74.4,92.7
Private Sector Public Funded,2015/16,16-18,1,Diploma,"2,620",61.9,66.4,93.2
Private Sector Public Funded,2015/16,16-18,1,ESOL,360,72.0,82.4,87.4
Private Sector Public Funded,2015/16,16-18,1,Other Non-Regulated,"17,890",82.6,85.7,96.4
Private Sector Public Funded,2015/16,16-18,1,Other Regulated,"1,590",59.2,68.6,86.3
Private Sector Public Funded,2015/16,16-18,1,All Qualification Types,"70,800",64.9,72.7,89.2
Private Sector Public Funded,2015/16,16-18,2,Award,"2,880",79.2,84.6,93.7
Private Sector Public Funded,2015/16,16-18,2,Basic Skills Maths and English,"12,910",35.6,54.9,64.8
Private Sector Public Funded,2015/16,16-18,2,Certificate,"4,650",70.6,75.8,93.0
Private Sector Public Funded,2015/16,16-18,2,Diploma,"2,600",70.9,75.1,94.3
Private Sector Public Funded,2015/16,16-18,2,GCSE Maths and English,"5,570",41.0,64.7,63.4
Private Sector Public Funded,2015/16,16-18,2,GCSE Other,50,34.8,76.1,45.7
Private Sector Public Funded,2015/16,16-18,2,Other Non-Regulated,"1,890",69.8,77.2,90.3
Private Sector Public Funded,2015/16,16-18,2,Other Regulated,800,58.6,73.1,80.2
Private Sector Public Funded,2015/16,16-18,2,All Qualification Types,"31,340",51.3,66.0,77.8
Private Sector Public Funded,2015/16,16-18,3,A Level,-,71.4,96.4,74.1
Private Sector Public Funded,2015/16,16-18,3,AS Level,50,47.8,87.0,55.0
Private Sector Public Funded,2015/16,16-18,3,Award,60,76.8,78.6,97.7
Private Sector Public Funded,2015/16,16-18,3,Certificate,170,67.1,76.5,87.7
Private Sector Public Funded,2015/16,16-18,3,Diploma,"2,500",74.1,78.8,94.1
Private Sector Public Funded,2015/16,16-18,3,Other Non-Regulated,200,5.4,5.4,100.0
Private Sector Public Funded,2015/16,16-18,3,Other Regulated,70,39.7,93.2,42.6
Private Sector Public Funded,2015/16,16-18,3,All Qualification Types,"3,080",68.0,74.5,91.4
Private Sector Public Funded,2015/16,16-18,H,Diploma,180,89.1,93.5,95.3
Private Sector Public Funded,2015/16,16-18,H,All Qualification Types,180,89.1,93.5,95.3
Private Sector Public Funded,2015/16,16-18,Unknown,Other Non-Regulated,100,46.3,47.4,97.8
Private Sector Public Funded,2015/16,16-18,Unknown,All Qualification Types,100,46.3,47.4,97.8
Private Sector Public Funded,2015/16,16-18,All Qualification Levels,A Level,-,71.4,96.4,74.1
Private Sector Public Funded,2015/16,16-18,All Qualification Levels,AS Level,50,47.8,87.0,55.0
Private Sector Public Funded,2015/16,16-18,All Qualification Levels,Award,"11,820",71.3,78.2,91.1
