col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
1,1.0,587.0,1.0,2.0,2.0,2.0,1.0,1.0
1,1.0,553.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1.0,401.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1.0,560.0,1.0,3.0,2.0,2.0,2.0,2.0
1,1.0,549.0,1.0,3.0,2.0,2.0,2.0,2.0
1,1.0,713.0,1.0,2.0,2.0,2.0,1.0,1.0
1,1.0,561.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1.0,605.0,1.0,2.0,2.0,2.0,1.0,1.0
1,1.0,536.0,1.0,2.0,2.0,2.0,1.0,1.0
1,1.0,514.0,1.0,3.0,2.0,2.0,2.0,2.0
1,1.0,585.0,1.0,3.0,2.0,2.0,2.0,2.0
1,1.0,475.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1.0,438.0,1.0,2.0,2.0,2.0,1.0,1.0
1,1.0,537.0,1.0,3.0,2.0,2.0,2.0,2.0
1,1.0,752.0,1.0,3.0,2.0,2.0,2.0,2.0
1,1.0,560.0,1.0,4.0,1.0,1.0,2.0,2.0
1,1.0,529.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1.0,457.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1.0,529.0,1.0,4.0,1.0,1.0,2.0,2.0
1,1.0,610.0,1.0,4.0,1.0,1.0,2.0,2.0
1,1.0,553.0,1.0,4.0,1.0,1.0,2.0,2.0
1,1.0,545.0,1.0,4.0,1.0,1.0,2.0,2.0
1,1.0,528.0,1.0,3.0,2.0,2.0,2.0,2.0
1,1.0,489.0,1.0,3.0,2.0,2.0,2.0,2.0
1,1.0,601.0,1.0,2.0,2.0,2.0,1.0,1.0
1,1.0,523.0,1.0,2.0,2.0,2.0,1.0,1.0
1,1.0,602.0,1.0,4.0,1.0,1.0,2.0,2.0
1,1.0,513.0,1.0,3.0,2.0,2.0,2.0,2.0
1,1.0,506.0,1.0,3.0,2.0,2.0,2.0,2.0
1,1.0,528.0,1.0,4.0,1.0,1.0,2.0,2.0
1,1.0,674.0,1.0,2.0,2.0,2.0,1.0,1.0
1,1.0,559.0,1.0,2.0,2.0,2.0,1.0,1.0
1,1.0,586.0,1.0,3.0,2.0,2.0,2.0,2.0
1,1.0,522.0,1.0,4.0,1.0,1.0,2.0,2.0
1,1.0,554.0,1.0,4.0,1.0,1.0,2.0,2.0
1,1.0,778.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1.0,497.0,1.0,3.0,2.0,2.0,2.0,2.0
