CodeClass,Name,Accession,Count
Housekeeping,SAP130,NM_024545.3,399
Housekeeping,AGK,NM_018238.3,232
Housekeeping,POLR2A,NM_000937.2,1841
Housekeeping,AMMECR1L,NM_001199140.1,366
Housekeeping,SF3A3,NM_006802.2,1575
Housekeeping,COG7,NM_153603.3,491
Housekeeping,TMUB2,NM_024107.2,624
Housekeeping,ZC3H14,NM_001160103.1,699
Housekeeping,DDX50,NM_024045.1,408
Housekeeping,G6PD,NM_000402.2,1481
Housekeeping,MRPS5,NM_031902.3,784
Housekeeping,ALAS1,NM_000688.4,606
Housekeeping,PPIA,NM_021130.2,882
Housekeeping,SDHA,NM_004168.1,886
Housekeeping,TBP,NM_001172085.1,359
Housekeeping,ZNF346,NM_012279.2,323
Housekeeping,MTMR14,NM_022485.3,705
Housekeeping,ERCC3,NM_000122.1,464
Housekeeping,EIF2B4,NM_172195.3,696
Housekeeping,CC2D1B,NM_032449.2,80
Housekeeping,GUSB,NM_000181.1,358
Housekeeping,TLK2,NM_006852.2,425
Housekeeping,TUBB,NM_178014.2,1383
Housekeeping,TRIM39,NM_021253.3,111
Housekeeping,NUBP1,NM_001278506.1,78
Housekeeping,USP39,NM_001256725.1,168
Housekeeping,PRPF38A,NM_032864.3,693
Housekeeping,GPATCH3,NM_022078.2,119
Housekeeping,NOL7,NM_016167.3,380
Housekeeping,CNOT4,NM_001190848.1,496
Housekeeping,HPRT1,NM_000194.1,371
Housekeeping,ZKSCAN5,NM_014569.3,72
