Item,Unit,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0
Assets,Billions,278.8230151,301.7605812,339.9332473,418.4939486,449.1817697,510.7862585,590.7166421,651.5081827,777.7444023,914.6823645,1000.422127,997.8974692,962.4884157,959.3004623,897.8112327,775.9079053,722.0172592,756.4786515,788.5256616,813.7310578,840.6085053125,844.1675518438,867.7628181797,909.1748211172,934.7242969531,965.7410597969,1002.9162266875,1051.2809077656,1083.354896875,1138.8269148594,1203.2147647969,1255.926409,1304.049,1378.757,1617.582347,1835.4641552,2047.4388218,2209.9244896
Real estate,Billions,202.4180811,217.5623822,243.0021533,298.3002066,335.5562268,383.559733,456.539435,509.3082917,601.7733486,706.0637873,782.8202069,785.5618299,750.023254,753.4220189,661.7502148,586.1833708,542.4079757,563.6785506,582.311234,600.1324239,619.1492400469,624.7690571484,640.7907798358999,677.5778581563,704.1376496172,740.4914534453,769.5358908359,808.2288781875,840.4215617266001,886.981055375,946.4276491563,996.242486,1045.655,1111.777,1340.582145,1549.227445,1755.7937764,1912.1942446
Livestock and poultry \1,Billions,23.705761,27.263869,33.679316,42.370002,24.567475,29.356695,29.047508,31.931218,50.105786,61.386773,60.633203,53.544275,52.993051,49.540878,49.525922,46.259169,47.751409,57.97658,62.211338,66.212752,70.856057,68.11976,70.962162,72.778679,67.912189,57.778086,60.314851,67.075193,63.39148,73.177382,76.787712,78.535901,75.621,78.54,79.42034699999999,81.09724800000001,80.746597,80.649432
"Machinery, motor vehicles \2",Billions,30.36393399,32.43443801,34.644365,39.67089601,48.45428399,57.41701197,63.27528801,69.31993501,78.83791768,91.92444231,97.46349674,101.1216013,103.8535467,101.7072944,125.8448569,86.07696651,79.03018451,78.68623691,80.9761127,84.09026484,86.29780429979999,85.8924656592,84.8055493496,85.3915999395,86.76158629979999,87.5917463096,88.0306108691,88.7449255791,89.8247061699,89.8474294395,90.1046826895,92.804006,93.582,95.944,101.943566,106.8917792,108.0837424,108.546329
Crops \3,Billions,8.700574,9.950744,12.949001,21.379362,22.515224,20.535165,20.584873,20.443929,23.800687,29.876331,32.831043,29.511813,25.8856,23.74634,26.128956,22.904647,16.279821,17.828174,23.651022,23.93647,23.178199,22.238486,24.208624,23.325867,23.297793,27.445606,31.692878,32.670319,29.939741,28.273037,27.932428,25.238556,23.114,24.429,24.435158,24.291478,22.698792,22.703399
Purchased inputs,Billions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.977708,1.20990401,2.06745901,3.15258498,3.45908796,2.574449,2.807529,2.61068604,3.94649597,3.78967604,5.036672019999999,3.37161203,4.36189198,4.90037099,5.03640499,4.025649,4.89571502,4.212374,5.632,5.627,5.700783,6.491317,6.459759,7.019322
Financial assets,Billions,13.63466501,14.54914801,15.658412,16.77348198,18.08855996,19.91765306,21.26953808,20.50480901,23.22666296,25.431031,26.67417698,28.15794999,29.73296396,30.88393097,32.58357502,33.273848,34.48040998,35.15652498,35.91686702,36.78469799,38.3196759697,40.5370970098,43.0492070298,46.3111409897,47.578407019500006,49.0625560195,48.9801040093,49.661221019500005,54.7410030098,56.5223620391,57.0665779497,58.893086,60.445,62.44,65.500348,67.464888,73.656155,78.81176300000001
Claims,Billions,278.8230151,301.7605812,339.9332473,418.4939486,449.1817697,510.7862585,590.7166421,651.5081827,777.7444023,914.6823645,1000.422127,997.8974692,962.4884157,959.3004623,897.8112327,775.9079053,722.0172592,756.4786515,788.5256616,813.7310578,840.6085053125,844.1675518438,867.7628181797,909.1748211172,934.7242969531,965.7410597969,1002.9162266875,1051.2809077656,1083.354896875,1138.8269148594,1203.2147647969,1255.926409,1304.049,1378.757,1617.582347,1835.4641552,2047.4388218,2209.9244896
Debt \4,Billions,48.50100726,52.82506826,58.0996875,66.76865158,74.67268652,83.50373945,94.13739044,108.404445,123.8656213,147.5202269,162.4319683,177.6874781,183.9629957,186.1781171,188.8133356,172.154536,151.3078224,138.507402,133.138349,131.0304019,131.1157953691,131.8727826494,131.5658125693,134.31158001949998,138.92905470899998,142.98525525,148.57275610940002,156.9073769785,164.6263133887,167.69614450979998,163.929822759393,170.66444552820798,177.22366342220198,175.144862782897,182.965065214708,193.230217881405,196.391856460973,211.520102139044
