col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18
,,,0.83911,,,2.45370,,,0.15000,,,,,,,,,
,,,0.87570,,,2.46240,,,0.34200,,,,,,,,,
,,,0.84799,,,2.44646,,,0.05000,,,,,,,,,
,,,0.86241,,,2.45169,,-0.05000,,,,,,,,,,
,,,0.86238,,,2.45169,,,0.05000,,,,,,,,,
,,,0.86430,,,2.44267,,,0.11000,,,,,,,,,
,,,0.85238,,,2.45058,,,0.09000,,,,,,,,,
,,,0.85344,,,2.46757,,,0.13000,,,,,,,,,
,,,0.90318,,,2.45814,,,0.09000,,,,,,,,,
,,,0.89757,,,2.43746,,-0.06000,,,,,,,,,,
,,,0.89765,,,2.43746,,,0.18000,,,,,,,,,
,,,0.88899,,,2.46824,,,0.40000,,,,,,,,,
,,,0.90061,,,2.47130,,-0.26500,,,,,,,,,,
,,,0.87244,,,2.47579,,-0.24500,,,,,,,,,,
,,,0.86158,,,2.44188,,-0.31000,,,,,,,,,,
,,,0.87004,,,2.44712,,,0.08000,,,,,,,,,
,,,0.87344,,,2.44538,,,0.10500,,,,,,,,,
,,,0.89255,,,2.45592,,,0.44000,,,,,,,,,
,,,0.88592,,,2.45926,,,0.61000,,,,,,,,,
,,,0.84880,,,2.46811,,,0.36500,,,,,,,,,
,,,0.87525,,,2.46505,,,0.65000,,,,,,,,,
,,,0.87525,,,2.46505,,,0.65000,,,,,,,,,
,,,0.88412,,,2.44640,,,0.14000,,,,,,,,,
,,,0.86541,,,2.47100,,-0.14500,,,,,,,,,,
,,,0.86541,,,2.47099,,,0.35500,,,,,,,,,
,,,0.86541,,,2.47099,,,0.35500,,,,,,,,,
