Borough,Ward,2001_code,2011_code,Households_2001,Households_2011,Share_2001,Share_2011,Households_change,Share_change
Kensington and Chelsea,Cremorne,00AWGD,E05000387,1935,1742,42.11,43.50,-193,1.39
Tower Hamlets,Weavers,00BGGM,E05000588,2785,2418,59.07,43.40,-367,-15.67
Islington,Finsbury Park,00AUGC,E05000371,2772,2711,50.06,43.40,-61,-6.66
Southwark,Chaucer,00BEGF,E05000537,3244,2700,62.86,43.30,-544,-19.56
Westminster,Harrow Road,00BKGF,E05000635,1875,2358,46.86,43.30,483,-3.56
Islington,Junction,00AUGH,E05000376,2704,2443,50.85,43.20,-261,-7.65
Lambeth,Tulse Hill,00AYGU,E05000435,2809,2858,48.73,43.20,49,-5.53
Enfield,Edmonton Green,00AKGQ,E05000197,2766,2975,44.43,43.10,209,-1.33
Hackney,Hackney Downs,00AMGH,E05000238,2198,2342,49.23,43.10,144,-6.13
Southwark,Cathedrals,00BEGE,E05000536,3004,2653,57.72,42.80,-351,-14.92
Tower Hamlets,Bow East,00BGFZ,E05000576,2298,2823,54.55,42.80,525,-11.75
Tower Hamlets,Shadwell,00BGGK,E05000586,2436,2483,54.90,42.70,47,-12.20
Camden,Holborn and Covent Garden,00AGGP,E05000138,2723,2599,51.78,42.50,-124,-9.28
Islington,Clerkenwell,00AUGB,E05000370,2486,2237,53.67,42.30,-249,-11.37
Camden,Kilburn,00AGGR,E05000140,2492,2422,47.71,42.10,-70,-5.61
Croydon,New Addington,00AHGR,E05000157,1577,1691,40.11,42.10,114,1.99
Havering,Gooshays,00ARGG,E05000310,2455,2502,41.57,41.90,47,0.33
Islington,Tollington,00AUGN,E05000381,2613,2538,45.32,41.90,-75,-3.42
Lambeth,Bishop's,00AYFZ,E05000416,2221,1908,48.35,41.70,-313,-6.65
Newham,Plaistow North,00BBGR,E05000489,2396,2134,46.71,41.70,-262,-5.01
Islington,St Mary's,00AUGL,E05000379,2428,2290,47.36,41.50,-138,-5.86
Lambeth,Larkhall,00AYGJ,E05000425,2989,2969,51.54,41.50,-20,-10.04
Newham,Custom House,00BBGF,E05000479,2122,2009,44.65,41.40,-113,-3.25
Greenwich,Glyndon,00ALGX,E05000221,2785,2791,48.07,41.40,6,-6.67
Southwark,The Lane,00BEGY,E05000553,2446,2647,46.21,41.40,201,-4.81
Tower Hamlets,Limehouse,00BGGD,E05000580,2737,2617,53.58,41.30,-120,-12.28
Greenwich,Charlton,00ALGR,E05000216,2457,2361,43.47,41.10,-96,-2.37
