Quarter,Geographical region,Country of nationality,Total applications,Applications received from ports,Applications received in-country,Total initial decisions,Total grants,Grants of asylum,Grants of HP,Grants of DL,Grants of ELR,Total refusals,Certified refusals,Other refusals,3rd country refusals,Non-comp refusals,Total withdrawals,Non-substantiated withdrawals,Fresh claims,Total pending,Total pending initial decision,Pending initial decision for less than or equal to 6 months,Pending initial decision for more than 6 months,Pending further review
2001 Q1,Europe,Former Yugoslavia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
2001 Q1,Europe,France,6,5,1,0,0,0,:,:,0,0,0,0,0,0,0,:,..,..,..,..,..,..
2001 Q1,Americas,French Guiana,0,0,0,0,0,0,:,:,0,0,0,0,0,0,0,:,..,..,..,..,..,..
2001 Q1,Oceania,French Polynesia,0,0,0,0,0,0,:,:,0,0,0,0,0,0,0,:,..,..,..,..,..,..
2001 Q1,Africa,Gabon,4,2,2,4,0,0,:,:,0,4,3,1,0,0,0,:,..,..,..,..,..,..
2001 Q1,Africa,"Gambia, The",16,5,11,37,10,1,:,:,9,27,9,12,0,6,1,:,..,..,..,..,..,..
2001 Q1,Europe,Georgia,33,4,29,96,8,4,:,:,4,88,16,53,0,19,2,:,..,..,..,..,..,..
2001 Q1,Europe,Germany,0,0,0,0,0,0,:,:,0,0,0,0,0,0,0,:,..,..,..,..,..,..
2001 Q1,Africa,Ghana,61,20,41,169,33,12,:,:,21,136,50,35,0,51,5,:,..,..,..,..,..,..
2001 Q1,Europe,Gibraltar (British),0,0,0,0,0,0,:,:,0,0,0,0,0,0,0,:,..,..,..,..,..,..
2001 Q1,Europe,Greece,1,0,1,0,0,0,:,:,0,0,0,0,0,0,0,:,..,..,..,..,..,..
2001 Q1,Europe,Greenland,0,0,0,0,0,0,:,:,0,0,0,0,0,0,0,:,..,..,..,..,..,..
2001 Q1,Americas,Grenada,0,0,0,2,0,0,:,:,0,2,0,2,0,0,0,:,..,..,..,..,..,..
2001 Q1,Americas,Guadeloupe,0,0,0,0,0,0,:,:,0,0,0,0,0,0,0,:,..,..,..,..,..,..
2001 Q1,Americas,Guam,0,0,0,0,0,0,:,:,0,0,0,0,0,0,0,:,..,..,..,..,..,..
2001 Q1,Americas,Guatemala,0,0,0,1,0,0,:,:,0,1,0,1,0,0,0,:,..,..,..,..,..,..
2001 Q1,Africa,Guinea,18,5,13,32,10,7,:,:,3,22,3,12,0,7,0,:,..,..,..,..,..,..
2001 Q1,Africa,Guinea-Bissau,0,0,0,14,0,0,:,:,0,14,1,8,0,5,0,:,..,..,..,..,..,..
2001 Q1,Americas,Guyana,0,0,0,4,0,0,:,:,0,4,0,3,0,1,0,:,..,..,..,..,..,..
2001 Q1,Americas,Haiti,1,1,0,1,0,0,:,:,0,1,1,0,0,0,0,:,..,..,..,..,..,..
2001 Q1,Oceania,Heard Island and McDonald Islands,0,0,0,0,0,0,:,:,0,0,0,0,0,0,0,:,..,..,..,..,..,..
2001 Q1,Americas,Honduras,2,2,0,1,0,0,:,:,0,1,0,1,0,0,0,:,..,..,..,..,..,..
2001 Q1,Asia,Hong Kong,1,0,1,12,0,0,:,:,0,12,7,3,0,2,3,:,..,..,..,..,..,..
2001 Q1,Europe,Hungary,0,0,0,2,0,0,:,:,0,2,1,1,0,0,0,:,..,..,..,..,..,..
2001 Q1,Europe,Iceland,0,0,0,0,0,0,:,:,0,0,0,0,0,0,0,:,..,..,..,..,..,..
2001 Q1,Asia,India,503,97,406,"1,116",26,8,:,:,18,"1,090",235,338,8,509,14,:,..,..,..,..,..,..
2001 Q1,Asia,Indonesia,5,0,5,205,2,2,:,:,0,203,4,28,0,171,3,:,..,..,..,..,..,..
2001 Q1,Middle East,Iran,"1,337",408,929,"2,650",289,198,:,:,91,"2,361",473,"1,323",5,560,16,:,..,..,..,..,..,..
2001 Q1,Middle East,Iraq,"2,004",692,"1,312","3,341",649,251,:,:,398,"2,692",432,"1,383",15,862,22,:,..,..,..,..,..,..
2001 Q1,Europe,Ireland,0,0,0,0,0,0,:,:,0,0,0,0,0,0,0,:,..,..,..,..,..,..
2001 Q1,Middle East,Israel,8,1,7,44,5,0,:,:,5,39,9,22,0,8,4,:,..,..,..,..,..,..
2001 Q1,Europe,Italy,2,2,0,0,0,0,:,:,0,0,0,0,0,0,0,:,..,..,..,..,..,..
2001 Q1,Africa,Ivory Coast,92,14,78,43,6,3,:,:,3,37,0,7,1,29,5,:,..,..,..,..,..,..
2001 Q1,Americas,Jamaica,139,36,103,158,10,2,:,:,8,148,59,41,0,48,9,:,..,..,..,..,..,..
2001 Q1,Asia,Japan,0,0,0,1,0,0,:,:,0,1,0,1,0,0,0,:,..,..,..,..,..,..
2001 Q1,Middle East,Jordan,10,4,6,26,6,2,:,:,4,20,2,13,0,5,2,:,..,..,..,..,..,..
2001 Q1,Europe,Kazakhstan,8,1,7,19,1,1,:,:,0,18,2,10,1,5,1,:,..,..,..,..,..,..
2001 Q1,Africa,Kenya,77,15,62,438,44,12,:,:,32,394,83,213,0,98,6,:,..,..,..,..,..,..
2001 Q1,Oceania,Kiribati,0,0,0,0,0,0,:,:,0,0,0,0,0,0,0,:,..,..,..,..,..,..
2001 Q1,Asia,Korea (North),0,0,0,9,0,0,:,:,0,9,0,0,0,9,0,:,..,..,..,..,..,..
2001 Q1,Asia,Korea (South),1,1,0,2,0,0,:,:,0,2,0,1,0,1,0,:,..,..,..,..,..,..
2001 Q1,Europe,Kosovo,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
2001 Q1,Middle East,Kuwait,1,1,0,35,9,2,:,:,7,26,9,15,0,2,1,:,..,..,..,..,..,..
2001 Q1,Europe,Kyrgyzstan,0,0,0,6,1,0,:,:,1,5,0,3,0,2,0,:,..,..,..,..,..,..
